code,country,country_long,tag,note
AFG,Afghanistan,Afghanistan,afghanistan,P
AHO,Netherlands Antilles,Netherlands Antilles,netherlands-antilles,H
AIN,AIN,AIN,ain,P
ALB,Albania,Albania,albania,P
ALG,Algeria,Algeria,algeria,P
AND,Andorra,Andorra,andorra,P
ANG,Angola,Angola,angola,P
ANT,Antigua and Barbuda,Antigua and Barbuda,antigua-and-barbuda,P
ARG,Argentina,Argentina,argentina,P
ARM,Armenia,Armenia,armenia,P
ARU,Aruba,Aruba,aruba,P
ASA,American Samoa,American Samoa,american-samoa,P
AUS,Australia,Australia,australia,P
AUT,Austria,Austria,austria,P
